"V114" "V115" "V116" "V117" "V118" "V119" "V120" "V121" "V122" "V123" "V124" "V125" "V126" "V127" "V128" "V129" "V130" "V131" "V132" "V133" "V134" "V135" "V136" "V137" "V138" "V139" "V140" "V141" "V142" "V143" "V144" "V145" "V146" "V147" "V148"
"13" 10.2 9.5 11.8 10.7 15.2 13.2 14.6 12.7 12.9 14.1 15.5 13.3 16.5 14.8 13.3 13.9 17.3 15.3 17.4 5.1 10 11.3 14.9 12.4 14.6 11 12 9.7 12.5 8.6 7.6 4 7 7.2 7.8
"14" 10.2 9.5 11.8 10.7 15.2 13.2 14.6 12.7 12.9 14.1 15.5 13.3 16.5 14.8 13.3 13.9 17.3 15.3 17.4 5.1 10 11.3 14.9 12.4 14.6 11 12 9.7 12.5 8.6 7.6 4 7 7.2 7.8
"15" 10.2 9.5 11.8 10.7 15.2 13.2 14.6 12.7 12.9 14.1 15.5 13.3 16.5 14.8 13.3 13.9 17.3 15.3 17.4 5.1 10 11.3 14.9 12.4 14.6 11 12 9.7 12.5 8.6 7.6 4 7 7.2 7.8
"16" 10.2 9.5 11.8 10.7 15.2 13.2 14.6 12.7 12.9 14.1 15.5 13.3 16.5 14.8 13.3 13.9 17.3 15.3 17.4 5.1 10 11.3 14.9 12.4 14.6 11 12 9.7 12.5 8.6 7.6 4 7 7.2 7.8
"17" 10.2 9.5 11.8 10.7 15.2 13.2 14.6 12.7 12.9 14.1 15.5 13.3 16.5 14.8 13.3 13.9 17.3 15.3 17.4 5.1 10 11.3 14.9 12.4 14.6 11 12 9.7 12.5 8.6 7.6 4 7 7.2 7.8
"18" 10.2 9.5 11.8 10.7 15.2 13.2 14.6 12.7 12.9 14.1 15.5 13.3 16.5 14.8 13.3 13.9 17.3 15.3 17.4 5.1 10 11.3 14.9 12.4 14.6 11 12 9.7 12.5 8.6 7.6 4 7 7.2 7.8
"19" 10.2 9.5 11.8 10.7 15.2 13.2 14.6 12.7 12.9 14.1 15.5 13.3 16.5 14.8 13.3 13.9 17.3 15.3 17.4 5.1 10 11.3 14.9 12.4 14.6 11 12 9.7 12.5 8.6 7.6 4 7 7.2 7.8
"20" 10.2 9.5 11.8 10.7 15.2 13.2 14.6 12.7 12.9 14.1 15.5 13.3 16.5 14.8 13.3 13.9 17.3 15.3 17.4 5.1 10 11.3 14.9 12.4 14.6 11 12 9.7 12.5 8.6 7.6 4 7 7.2 7.8
"21" 10.2 9.5 11.8 10.7 15.2 13.2 14.6 12.7 12.9 14.1 15.5 13.3 16.5 14.8 13.3 13.9 17.3 15.3 17.4 5.1 10 11.3 14.9 12.4 14.6 11 12 9.7 12.5 8.6 7.6 4 7 7.2 7.8
"22" 10.2 9.5 11.8 10.7 15.2 13.2 14.6 12.7 12.9 14.1 15.5 13.3 16.5 14.8 13.3 13.9 17.3 15.3 17.4 5.1 10 11.3 14.9 12.4 14.6 11 12 9.7 12.5 8.6 7.6 4 7 7.2 7.8
"23" 10.2 9.5 11.8 10.7 15.2 13.2 14.6 12.7 12.9 14.1 15.5 13.3 16.5 14.8 13.3 13.9 17.3 15.3 17.4 5.1 10 11.3 14.9 12.4 14.6 11 12 9.7 12.5 8.6 7.6 4 7 7.2 7.8
"24" 10.2 9.5 11.8 10.7 15.2 13.2 14.6 12.7 12.9 14.1 15.5 13.3 16.5 14.8 13.3 13.9 17.3 15.3 17.4 5.1 10 11.3 14.9 12.4 14.6 11 12 9.7 12.5 8.6 7.6 4 7 7.2 7.8
"25" 10.2 9.5 11.8 10.7 15.2 13.2 14.6 12.7 12.9 14.1 15.5 13.3 16.5 14.8 13.3 13.9 17.3 15.3 17.4 5.1 10 11.3 14.9 12.4 14.6 11 12 9.7 12.5 8.6 7.6 4 7 7.2 7.8
"26" 10.2 9.5 11.8 10.7 15.2 13.2 14.6 12.7 12.9 14.1 15.5 13.3 16.5 14.8 13.3 13.9 17.3 15.3 17.4 5.1 10 11.3 14.9 12.4 14.6 11 12 9.7 12.5 8.6 7.6 4 7 7.2 7.8
"27" 10.2 9.5 11.8 10.7 15.2 13.2 14.6 12.7 12.9 14.1 15.5 13.3 16.5 14.8 13.3 13.9 17.3 15.3 17.4 5.1 10 11.3 14.9 12.4 14.6 11 12 9.7 12.5 8.6 7.6 4 7 7.2 7.8
"28" 10.2 9.5 11.8 10.7 15.2 13.2 14.6 12.7 12.9 14.1 15.5 13.3 16.5 14.8 13.3 13.9 17.3 15.3 17.4 5.1 10 11.3 14.9 12.4 14.6 11 12 9.7 12.5 8.6 7.6 4 7 7.2 7.8
"29" 10.2 9.5 11.8 10.7 15.2 13.2 14.6 12.7 12.9 14.1 15.5 13.3 16.5 14.8 13.3 13.9 17.3 15.3 17.4 5.1 10 11.3 14.9 12.4 14.6 11 12 9.7 12.5 8.6 7.6 4 7 7.2 7.8
"30" 10.2 9.5 11.8 10.7 15.2 13.2 14.6 12.7 12.9 14.1 15.5 13.3 16.5 14.8 13.3 13.9 17.3 15.3 17.4 5.1 10 11.3 14.9 12.4 14.6 11 12 9.7 12.5 8.6 7.6 4 7 7.2 7.8
"31" 10.2 9.5 11.8 10.7 15.2 13.2 14.6 12.7 12.9 14.1 15.5 13.3 16.5 14.8 13.3 13.9 17.3 15.3 17.4 5.1 10 11.3 14.9 12.4 14.6 11 12 9.7 12.5 8.6 7.6 4 7 7.2 7.8
"32" 10.2 9.5 11.8 10.7 15.2 13.2 14.6 12.7 12.9 14.1 15.5 13.3 16.5 14.8 13.3 13.9 17.3 15.3 17.4 5.1 10 11.3 14.9 12.4 14.6 11 12 9.7 12.5 8.6 7.6 4 7 7.2 7.8
"33" 10.2 9.5 11.8 10.7 15.2 13.2 14.6 12.7 12.9 14.1 15.5 13.3 16.5 14.8 13.3 13.9 17.3 15.3 17.4 5.1 10 11.3 14.9 12.4 14.6 11 12 9.7 12.5 8.6 7.6 4 7 7.2 7.8
"34" 10.2 9.5 11.8 10.7 15.2 13.2 14.6 12.7 12.9 14.1 15.5 13.3 16.5 14.8 13.3 13.9 17.3 15.3 17.4 5.1 10 11.3 14.9 12.4 14.6 11 12 9.7 12.5 8.6 7.6 4 7 7.2 7.8
"35" 10.2 9.5 11.8 10.7 15.2 13.2 14.6 12.7 12.9 14.1 15.5 13.3 16.5 14.8 13.3 13.9 17.3 15.3 17.4 5.1 10 11.3 14.9 12.4 14.6 11 12 9.7 12.5 8.6 7.6 4 7 7.2 7.8
"36" 10.2 9.5 11.8 10.7 15.2 13.2 14.6 12.7 12.9 14.1 15.5 13.3 16.5 14.8 13.3 13.9 17.3 15.3 17.4 5.1 10 11.3 14.9 12.4 14.6 11 12 9.7 12.5 8.6 7.6 4 7 7.2 7.8
"37" 10.2 9.5 11.8 10.7 15.2 13.2 14.6 12.7 12.9 14.1 15.5 13.3 16.5 14.8 13.3 13.9 17.3 15.3 17.4 5.1 10 11.3 14.9 12.4 14.6 11 12 9.7 12.5 8.6 7.6 4 7 7.2 7.8
"38" 10.2 9.5 11.8 10.7 15.2 13.2 14.6 12.7 12.9 14.1 15.5 13.3 16.5 14.8 13.3 13.9 17.3 15.3 17.4 5.1 10 11.3 14.9 12.4 14.6 11 12 9.7 12.5 8.6 7.6 4 7 7.2 7.8
"39" 10.2 9.5 11.8 10.7 15.2 13.2 14.6 12.7 12.9 14.1 15.5 13.3 16.5 14.8 13.3 13.9 17.3 15.3 17.4 5.1 10 11.3 14.9 12.4 14.6 11 12 9.7 12.5 8.6 7.6 4 7 7.2 7.8
"40" 10.2 9.5 11.8 10.7 15.2 13.2 14.6 12.7 12.9 14.1 15.5 13.3 16.5 14.8 13.3 13.9 17.3 15.3 17.4 5.1 10 11.3 14.9 12.4 14.6 11 12 9.7 12.5 8.6 7.6 4 7 7.2 7.8
"41" 10.2 9.5 11.8 10.7 15.2 13.2 14.6 12.7 12.9 14.1 15.5 13.3 16.5 14.8 13.3 13.9 17.3 15.3 17.4 5.1 10 11.3 14.9 12.4 14.6 11 12 9.7 12.5 8.6 7.6 4 7 7.2 7.8
"42" 10.2 9.5 11.8 10.7 15.2 13.2 14.6 12.7 12.9 14.1 15.5 13.3 16.5 14.8 13.3 13.9 17.3 15.3 17.4 5.1 10 11.3 14.9 12.4 14.6 11 12 9.7 12.5 8.6 7.6 4 7 7.2 7.8
"43" 10.2 9.5 11.8 10.7 15.2 13.2 14.6 12.7 12.9 14.1 15.5 13.3 16.5 14.8 13.3 13.9 17.3 15.3 17.4 5.1 10 11.3 14.9 12.4 14.6 11 12 9.7 12.5 8.6 7.6 4 7 7.2 7.8
"44" 10.2 9.5 11.8 10.7 15.2 13.2 14.6 12.7 12.9 14.1 15.5 13.3 16.5 14.8 13.3 13.9 17.3 15.3 17.4 5.1 10 11.3 14.9 12.4 14.6 11 12 9.7 12.5 8.6 7.6 4 7 7.2 7.8
"45" 10.2 9.5 11.8 10.7 15.2 13.2 14.6 12.7 12.9 14.1 15.5 13.3 16.5 14.8 13.3 13.9 17.3 15.3 17.4 5.1 10 11.3 14.9 12.4 14.6 11 12 9.7 12.5 8.6 7.6 4 7 7.2 7.8
"46" 10.2 9.5 11.8 10.7 15.2 13.2 14.6 12.7 12.9 14.1 15.5 13.3 16.5 14.8 13.3 13.9 17.3 15.3 17.4 5.1 10 11.3 14.9 12.4 14.6 11 12 9.7 12.5 8.6 7.6 4 7 7.2 7.8
"47" 10.2 9.5 11.8 10.7 15.2 13.2 14.6 12.7 12.9 14.1 15.5 13.3 16.5 14.8 13.3 13.9 17.3 15.3 17.4 5.1 10 11.3 14.9 12.4 14.6 11 12 9.7 12.5 8.6 7.6 4 7 7.2 7.8
"48" 10.2 9.5 11.8 10.7 15.2 13.2 14.6 12.7 12.9 14.1 15.5 13.3 16.5 14.8 13.3 13.9 17.3 15.3 17.4 5.1 10 11.3 14.9 12.4 14.6 11 12 9.7 12.5 8.6 7.6 4 7 7.2 7.8
"49" 10.2 9.5 11.8 10.7 15.2 13.2 14.6 12.7 12.9 14.1 15.5 13.3 16.5 14.8 13.3 13.9 17.3 15.3 17.4 5.1 10 11.3 14.9 12.4 14.6 11 12 9.7 12.5 8.6 7.6 4 7 7.2 7.8
"50" 10.2 9.5 11.8 10.7 15.2 13.2 14.6 12.7 12.9 14.1 15.5 13.3 16.5 14.8 13.3 13.9 17.3 15.3 17.4 5.1 10 11.3 14.9 12.4 14.6 11 12 9.7 12.5 8.6 7.6 4 7 7.2 7.8
